RAJ2000,DEJ2000,pmRA,pmDE
36.12373605062,56.63352239090,3.910,-1.986
36.15429367549,56.63035094780,0.465,-1.796
36.11688761291,56.62960454109,-0.490,-0.778
36.01350905874,56.63951921748,0.130,0.274
36.11912703949,56.64751264383,-1.493,-2.386
36.12682903330,56.65316972838,-10.012,-4.837
36.12821928664,56.65889840456,8.184,-4.697
36.15449544642,56.68604294491,1.128,-3.748
36.10781364380,56.68595016450,-1.413,-3.372
36.10303675627,56.70608959730,-0.527,-1.327
36.09424437200,56.72335459516,-1.532,0.740
36.13357531243,56.72615381751,10.927,-3.873
36.12900466430,56.75117829415,-0.554,0.360
36.13287555555,56.74636611694,1.642,-0.583
36.13209354487,56.74225892105,-3.549,3.156
36.15046131312,56.74683842131,0.737,-0.388
36.15504640029,56.76505577669,-2.265,19.347
36.15463618398,56.75967197912,3.954,-4.137
34.99609667789,56.63004188415,2.187,-2.166
35.75518558153,56.63300232213,-2.974,1.166
35.96403410490,56.65071510744,-1.673,0.687
35.91102276078,56.63131086794,1.599,-0.808
35.89589845044,56.63673744440,-0.744,-4.325
35.90139128839,56.63459426567,0.761,-1.794
35.90165049182,56.64290664983,-1.011,-0.704
35.89648421147,56.64663736816,-11.348,1.101
35.94472245629,56.65031926205,-2.137,0.661
35.92866669073,56.64414559951,-0.895,-0.850
35.90907982487,56.66516057811,-10.173,-0.413
35.81281152221,56.63504061801,7.063,-6.805
35.84193099210,56.63369239375,0.625,-0.112
35.84652773420,56.65133583723,1.808,-1.369
35.79323016103,56.63386364763,-5.896,-2.870
35.76984063183,56.64259441553,0.195,-1.482
35.87356129721,56.67647896505,-1.334,-0.997
35.87565785831,56.68523311833,-11.322,-6.380
35.89130528255,56.68900755558,-1.464,-0.309
35.84811128393,56.68481886668,16.187,-5.860
35.84304797856,56.68101340456,0.472,0.348
35.81700789091,56.68767556071,-0.851,-1.659
35.83528448778,56.69796453672,-4.320,-0.967
35.82667625057,56.68956838585,3.341,-8.022
35.82445371608,56.70683202142,-6.610,2.429
35.86007917775,56.70384772291,0.028,-1.498
35.85940287343,56.70053378205,-4.361,-0.973
35.84911544032,56.72084260909,-1.391,-0.938
35.62200594276,56.62778495772,9.611,2.301
35.73332089732,56.63501507380,-0.856,0.375
35.66257709274,56.65210142379,-1.014,-0.463
35.64817721522,56.64994004314,0.126,0.119
35.65466166793,56.64912884922,-0.857,-0.535
35.68285716191,56.64536571991,19.640,-8.189
35.69558620845,56.65276672942,22.937,-3.862
35.60039830765,56.63049236197,6.269,-2.453
35.60528774076,56.64228709132,2.309,-5.818
35.54959696895,56.63401573945,-0.798,-0.932
35.55174815320,56.64792561224,-1.256,-0.147
35.61534285811,56.64470785876,-1.068,0.178
35.59510788688,56.66693451743,-2.870,-0.278
35.61071855016,56.67067766607,-1.175,0.383
35.62375063811,56.67407983279,-0.648,-1.345
35.65403696900,56.66633457959,-3.863,-1.388
35.65280588052,56.66590057786,-3.922,-1.469
35.67110011651,56.68670051045,0.265,-1.133
35.62799342725,56.68248577198,-1.796,0.707
35.56772625507,56.69161250291,-0.351,-0.512
35.56325701620,56.69196362412,-1.120,0.165
35.56240307736,56.67830790470,1.916,-2.630
35.61625849591,56.69777371803,-0.737,-1.527
35.62094644152,56.71671811944,-0.512,-1.099
35.75844106338,56.66293532252,1.590,-5.189
35.73642494352,56.66828745211,6.397,-6.961
35.78041946987,56.69437798813,5.450,-5.984
35.72945580152,56.68363836010,-0.345,0.592
35.71338750213,56.69605590475,-1.629,-0.504
35.69853831243,56.69755856961,0.561,-2.743
35.78805745059,56.70128101164,-0.426,-1.183
35.81188414807,56.69674137941,-2.697,-0.200
35.78790222717,56.69437429406,-0.307,-0.502
35.80299500542,56.71499203093,4.942,-3.304
35.78009952749,56.70313814241,-1.216,1.533
35.81968482187,56.71787845310,-0.371,-1.137
35.79808747519,56.72901557951,-4.461,-2.458
35.74735385645,56.72102891315,-2.444,-7.136
35.76743855165,56.73510918353,-1.582,0.043
35.75963366517,56.73268645901,2.957,2.646
35.72702598366,56.73368244215,-6.774,-4.565
35.78181330315,56.73643214960,1.084,0.107
35.76427427556,56.76816271025,-1.380,-0.178
35.65340089001,56.70895292641,-2.603,0.314
35.71572940401,56.72912484494,-2.240,0.479
35.63536545826,56.73307072714,0.297,-1.269
35.61621614826,56.73446598747,-0.638,-1.631
35.60732142488,56.73310942762,-0.523,-1.123
35.60918420732,56.72916423967,-0.702,-1.016
35.61958685836,56.74035428910,-0.551,-1.680
35.72895264046,56.74680006541,0.040,-0.046
35.70959859810,56.74502098012,-0.330,-0.242
35.73402198505,56.74876556352,-0.546,-1.085
35.70144727632,56.76631656117,0.045,-2.026
35.71960261018,56.77315085186,-3.947,1.224
35.72280109536,56.78709024400,0.061,-0.037
35.68784540095,56.78619696755,1.463,-6.203
35.68676188249,56.78392734027,5.001,7.152
35.67569670132,56.80127230895,-0.457,-1.501
35.70262918216,56.79526906832,-0.654,-0.983
35.72158873968,56.80681976909,-2.148,-2.867
